district,chiefdom,section,type_of_water_point
Kenema,Nongowa,Gbo Lambayama B,7:Piped water into dwelling/plot/yard
Kenema,Gorama Mende,Biatong,2:Protected dug well
North,Port Loko,TMS,2:Protected dug well
NA,NA,NA,NA
Koinadugu,Folosaba Dembelia,Lagor,2:Protected dug well
North,Port Loko,Lokomasama,2:Protected dug well
South,Pujehun,Panga Kabonde,2:Protected dug well
Bonthe,Sogbeni,Bakumba,2:Protected dug well
Kenema,Kenema City,Gbo Lambayama A-Nyandeyama,2:Protected dug well
Bo,Bo Town,West Ward-Lewabu - Manjama,9:Unprotected dug well
Bo,Bo Town,East Ward-Manjama - Shellmingo,10:Unequipped borehole
Western Rural,Waterloo Rural,Waterloo Benguema,6:Public tap/standpipe (stand-alone or water kiosk
NA,NA,NA,NA
Kenema,Gaura,Sandaru,7:Piped water into dwelling/plot/yard
West,Western Urban,West III,2:Protected dug well
Moyamba,Kaiyamba,Mosoe,3:Tube well or borehole
West,Western Rural,York Rural,7:Piped water into dwelling/plot/yard
South,Pujehun,Makpele,2:Protected dug well
NA,NA,NA,NA
East,Kono,Tankoro,2:Protected dug well
West,Western Urban,East III,2:Protected dug well
West,Western Urban,East II,7:Piped water into dwelling/plot/yard
NA,NA,NA,NA
Moyamba,Dasse,Bongoya,2:Protected dug well
Kenema,Nongowa,Gbo Lambayama B,7:Piped water into dwelling/plot/yard
North,Tonkolili,Kunike Barina,2:Protected dug well
Bo,Niawa Lenga,Lower Niawa,3:Tube well or borehole
North,Tonkolili,Yoni,2:Protected dug well
Bombali,Bombali Sebora,Kagbaran Dokom B,2:Protected dug well
East,Kono,Nimikoro,6:Public tap/standpipe (stand-alone or water kiosk
Koinadugu,Sengbe,Yogomaia,2:Protected dug well
Port Loko,Kaffu Bullom,Rosint,2:Protected dug well
Moyamba,Dasse,Foya Tewei,2:Protected dug well
Kenema,Kenema City,Gbo Kakajama A-Kissy Town,9:Unprotected dug well
Bo,Bumpe Ngao,Sewama,3:Tube well or borehole
Western Rural,York Rural,Goderich-Funkia,7:Piped water into dwelling/plot/yard
